x_read,sd_over_Delta,n_draws,cbar,qbar,cov_cq,var_c,var_q,G2_pred_mean,G2_meas_mean,wbar,agree_arm1,agree_arm2,frac_offres,G2_sd,G2_min,G2_max,G2_max_absdiff_pred_meas,max_abs_pooled_qq
5,1.5,64,0.9538101123,0.2619489007,-0.001069256249,0.001405090062,0.01052118776,-0.005484949798,-0.005484949798,0.3068717166,0.9538101123,0.9538101123,0.00046875,0.005508040203,-0.02011515981,0.002516753539,2.072994554e-16,5.551115123e-16
5,1.55,64,0.9528718646,0.2651368942,-0.001362532077,0.001638280026,0.01094667773,-0.00693699025,-0.00693699025,0.3072690048,0.9528718646,0.9528718646,0.00078125,0.006170793018,-0.0243230978,0.002077231291,1.569924746e-16,3.330669074e-16
5,1.6,64,0.9518743093,0.2681746952,-0.001705016842,0.001904247605,0.0114000946,-0.008621104956,-0.008621104956,0.3076197339,0.9518743093,0.9518743093,0.00109375,0.006866644864,-0.02790344916,0.001565414952,1.67183975e-16,4.440892099e-16
5,1.8,64,0.9472729813,0.2801826624,-0.003399416782,0.003343961296,0.01341799893,-0.01673990763,-0.01673990763,0.3084612471,0.9472729813,0.9472729813,0.003125,0.00993230096,-0.04651652867,-0.001262911964,1.543903894e-16,3.330669074e-16
5,2,64,0.9416871241,0.2916291699,-0.005649268797,0.005468234642,0.01573985997,-0.02717119042,-0.02717119042,0.3084271779,0.9416871241,0.9416871241,0.0078125,0.01337234048,-0.06845450794,-0.004551656023,1.509209424e-16,4.440892099e-16
5,2.5,64,0.9238250862,0.3187745628,-0.01360764437,0.01401872445,0.02287100792,-0.06233377228,-0.06233377228,0.3049052012,0.9238250862,0.9238250862,0.02265625,0.02182525173,-0.1295372565,-0.02048612816,1.665334537e-16,3.330669074e-16
5,3,64,0.9020112588,0.3443870914,-0.0237860342,0.02651591114,0.03083985917,-0.1049134669,-0.1049134669,0.2980048219,0.9020112588,0.9020112588,0.04734375,0.03003264613,-0.1941289821,-0.04535997126,2.498001805e-16,2.220446049e-16
10,0,64,0.9902903378,0.3373307405,6.162975822e-33,1.232595164e-32,3.081487911e-33,2.757006054e-32,0,0.2916803658,0.9902903378,0.9902903378,1,5.517094121e-48,2.757006054e-32,2.757006054e-32,2.757006054e-32,3.330669074e-16
10,0.1,64,0.9902870905,0.3387633978,2.539302647e-06,3.559381358e-08,0.0001823808244,1.133927398e-05,1.133927398e-05,0.2916912888,0.9902870905,0.9902870905,0.49625,1.559756721e-06,8.174877347e-06,1.450195081e-05,1.787307281e-16,3.330669074e-16
10,0.2,64,0.9902783364,0.3367509076,9.498474089e-06,1.429534333e-07,0.000651196446,4.254378408e-05,4.254378408e-05,0.2918967087,0.9902783364,0.9902783364,0.49625,5.770297201e-06,2.911773055e-05,5.866212436e-05,2.014515399e-16,4.440892099e-16
10,0.3,64,0.9902640335,0.3317941102,1.960008598e-05,3.239425919e-07,0.001284276703,8.846612866e-05,8.846612866e-05,0.2922172259,0.9902640335,0.9902640335,0.49625,1.254837534e-05,6.072450013e-05,0.0001263563907,2.272216703e-16,5.551115123e-16
10,0.5,64,0.9902184581,0.3208908241,4.052027427e-05,9.213644771e-07,0.002421727128,0.0001861249862,0.0001861249862,0.2930557645,0.9902184581,0.9902184581,0.49625,2.78839582e-05,0.0001180240439,0.0002567160973,1.975958459e-16,3.330669074e-16
10,0.7,64,0.9901493864,0.3095346366,5.231438895e-05,1.873508432e-06,0.003048671538,0.0002449891489,0.0002449891489,0.2939371623,0.9901493864,0.9901493864,0.49625,3.681115366e-05,0.0001466785666,0.0003143966137,1.980295268e-16,4.440892099e-16
10,0.9,64,0.9900552487,0.3015100139,5.024302638e-05,3.259117409e-06,0.003239073738,0.000238679102,0.000238679102,0.2946745891,0.9900552487,0.9900552487,0.49625,3.885949861e-05,0.0001543852655,0.0003195511912,2.155393919e-16,2.220446049e-16
