sd_over_Delta,draw,focal_m_min,focal_m_end,U_undershoot,eps_at_min,T4_defined,U_at_frozen_lattice,db_m_min,db_m_end,db_offset_post,db_shape_post,db_rms_post,db_maxabs,db_corr_post,db_monotonicity_violation
1.2,3,-0.52726118,-0.40794495,0.096480268,4.6100298,1,0.082547992,-0.19692993,-0.19692993,-0.21370267,0.02234567,0.21486778,0.40819284,0.92191415,1.4099832e-13
1.2,4,-0.54679139,-0.40782651,0.11601047,4.5888146,1,0.10863186,-0.19692806,-0.19692806,-0.21349394,0.024553324,0.21490121,0.42874894,0.92294303,1.5687451e-13
1.2,5,-0.52891482,-0.40789883,0.098133911,4.5314483,1,0.097751397,-0.1969292,-0.1969292,-0.21357275,0.023463341,0.21485774,0.41428191,0.92459981,1.7330581e-13
1.2,6,-0.51648639,-0.4078574,0.085705479,4.7365347,1,0.072328295,-0.19692992,-0.19692992,-0.21356936,0.022021843,0.21470173,0.39919876,0.93851303,9.3924868e-14
1.2,7,-0.55647206,-0.40794702,0.12569115,4.4846906,1,0.1207182,-0.19692735,-0.19692735,-0.21358458,0.025191233,0.21506504,0.43844783,0.91172259,1.6719959e-13
1.3,0,-0.52623578,-0.40790766,0.09545487,4.6667221,1,0.091072534,-0.19693144,-0.19693144,-0.21353771,0.022887193,0.21476074,0.41003309,0.93333775,1.8207658e-13
1.3,1,-0.52717242,-0.40784873,0.096391506,4.7480017,1,0.085851742,-0.19693141,-0.19693141,-0.21342811,0.023867788,0.21475854,0.41354973,0.93705345,1.7774671e-13
1.3,2,-0.51650156,-0.40789321,0.085720643,4.9023505,1,0.070689609,-0.19692934,-0.19692934,-0.21356497,0.021448211,0.21463928,0.3975795,0.94225479,2.4147351e-13
1.3,3,-0.51402293,-0.40788751,0.083242015,4.6716355,1,0.064730279,-0.19693079,-0.19693079,-0.21361898,0.02090647,0.21463958,0.39499444,0.93089224,1.3711254e-13
1.3,4,-0.5293148,-0.40790075,0.09853389,4.6596315,1,0.089202888,-0.19692878,-0.19692878,-0.21358376,0.022910225,0.21480899,0.41151356,0.9325387,1.4399593e-13
1.3,5,-0.51073771,-0.40794031,0.079956801,4.5468316,1,0.079289539,-0.19693001,-0.19693001,-0.21363942,0.021925583,0.21476158,0.39737952,0.93187165,1.7186252e-13
1.3,6,-0.49901113,-0.4078619,0.068230215,4.8761671,0,0.050558979,-0.19693078,-0.19693078,-0.21357746,0.020424205,0.21455181,0.38175466,0.94670113,8.3266727e-14
1.3,7,-0.53787677,-0.40787348,0.10709586,4.552329,1,0.10094584,-0.196928,-0.196928,-0.21359243,0.02347627,0.21487871,0.42015822,0.92266801,1.5365487e-13
1.4,0,-0.50965841,-0.40795046,0.078877499,4.7844109,1,0.076003109,-0.19693235,-0.19693235,-0.21361641,0.021242148,0.21466998,0.39425843,0.93928605,1.8751667e-13
1.4,1,-0.50928604,-0.40782951,0.078505129,4.8147586,1,0.069569765,-0.19693232,-0.19693232,-0.21343229,0.022434097,0.21460809,0.39751663,0.94470493,1.6364687e-13
1.4,2,-0.50350221,-0.40777766,0.072721299,4.914311,1,0.054408357,-0.1969301,-0.1969301,-0.21348113,0.020098126,0.21442511,0.38503993,0.94893022,2.4480418e-13
1.4,3,-0.50261971,-0.40782461,0.071838792,4.8008749,1,0.048589646,-0.19693166,-0.19693166,-0.21361317,0.01963765,0.21451392,0.38400292,0.93852047,1.3200552e-13
1.4,4,-0.5129917,-0.4078022,0.082210787,4.7305486,1,0.070324014,-0.19692949,-0.19692949,-0.21350232,0.021392019,0.21457134,0.39524174,0.94081157,1.3311574e-13
1.4,5,-0.49384313,-0.40794488,0.063062219,4.6296346,0,0.061927157,-0.19693082,-0.19693082,-0.21364076,0.020536411,0.21462553,0.38202447,0.93804956,1.7441604e-13
1.4,6,-0.48379016,-0.40795615,0.053009246,5.0160454,0,0.033729895,-0.19693165,-0.19693165,-0.21364203,0.018989449,0.2144843,0.36636904,0.95357863,8.8817842e-14
1.4,7,-0.52007398,-0.40791641,0.08929307,4.6200587,1,0.081419845,-0.19692865,-0.19692865,-0.21362961,0.021862882,0.21474542,0.40238148,0.93232357,1.5243362e-13
1.5,0,-0.49498381,-0.4078246,0.064202901,4.8347139,0,0.062689127,-0.19693327,-0.19693327,-0.21357175,0.019881057,0.21449511,0.38058091,0.94762801,1.7696955e-13
1.5,1,-0.49280235,-0.40787908,0.062021439,4.9489988,0,0.055210029,-0.19693323,-0.19693323,-0.21348363,0.021108154,0.21452462,0.3831571,0.95127654,1.6930901e-13
1.5,2,-0.49113099,-0.40790635,0.060350082,4.9937288,0,0.03954823,-0.19693086,-0.19693086,-0.21354162,0.019032998,0.21438814,0.37355763,0.95692593,2.48912e-13
1.5,3,-0.49202393,-0.40791001,0.061243015,4.7952086,0,0.033885832,-0.19693252,-0.19693252,-0.21371828,0.018383081,0.21450744,0.374516,0.94175387,1.3344881e-13
1.5,4,-0.49818729,-0.40787715,0.067406376,4.8015658,0,0.052352898,-0.1969302,-0.1969302,-0.21356735,0.020004294,0.21450218,0.38049252,0.94792717,1.2567725e-13
1.5,5,-0.47819419,-0.40788088,0.047413273,4.6450716,0,0.045716426,-0.19693162,-0.19693162,-0.21364482,0.019291641,0.21451404,0.36852836,0.94329731,1.7463808e-13
1.5,6,-0.47101982,-0.40786086,0.040238907,5.1561697,0,0.030186829,-0.19693251,-0.19693251,-0.21358495,0.01770802,0.21431777,0.35312241,0.95933101,8.1268325e-14
1.5,7,-0.50358524,-0.40785286,0.072804326,4.6878798,1,0.062380562,-0.19692931,-0.19692931,-0.21364341,0.020365351,0.21461187,0.38575033,0.94071782,1.3344881e-13
1.6,0,-0.48233005,-0.40787614,0.051549137,4.952568,0,0.050983425,-0.19693418,-0.19693418,-0.21364941,0.018641355,0.21446112,0.36867941,0.95468431,1.6320278e-13
1.6,1,-0.47801421,-0.4079184,0.047233298,5.0158099,0,0.042691815,-0.19693414,-0.19693414,-0.21352409,0.019889892,0.21444847,0.36979325,0.95690148,1.6231461e-13
1.6,2,-0.47819232,-0.40787637,0.04741141,5.0057417,0,0.025489069,-0.19693161,-0.19693161,-0.21354069,0.017978553,0.21429618,0.36239955,0.96142223,2.5335289e-13
1.6,3,-0.48125594,-0.40782341,0.050475028,4.857176,0,0.024770301,-0.19693338,-0.19693338,-0.21363939,0.01742193,0.21434857,0.366068,0.94767904,1.3311574e-13
1.6,4,-0.48458654,-0.40784895,0.05380563,4.8726831,0,0.035189527,-0.19693091,-0.19693091,-0.21356034,0.018743465,0.21438129,0.3670249,0.95398928,1.24456e-13
1.6,5,-0.46353807,-0.40793278,0.032757158,4.7280353,0,0.030467533,-0.19693243,-0.19693243,-0.21362538,0.018358433,0.21441276,0.35735138,0.95068773,1.7352786e-13
1.6,6,-0.4611478,-0.40787194,0.030366886,5.3641931,0,0.026430177,-0.19693337,-0.19693337,-0.21361626,0.016573439,0.21425822,0.34261492,0.96415512,8.9039887e-14
1.6,7,-0.48869978,-0.40788381,0.057918869,4.7557922,0,0.043992871,-0.19692996,-0.19692996,-0.21366039,0.018986339,0.21450232,0.37036621,0.94795436,1.29452e-13
1.8,0,-0.46104694,-0.40777548,0.030266027,5.188607,0,0.030272211,-0.19693599,-0.19693599,-0.21357355,0.016379349,0.21420071,0.34818566,0.9636629,1.6786572e-13
1.8,1,-0.4539438,-0.4078704,0.023162888,5.2847242,0,0.022163725,-0.19693595,-0.19693595,-0.21345791,0.017770937,0.21419637,0.346316,0.9658224,1.4799273e-13
1.8,2,-0.44926856,-0.40786591,0.01848765,5.0297677,0,-0.0021797665,-0.19693311,-0.19693311,-0.21353415,0.016264688,0.21415269,0.34024553,0.96838312,2.6423308e-13
1.8,3,-0.45792727,-0.4078869,0.02714636,4.9137181,0,0.0071633747,-0.1969351,-0.1969351,-0.21365939,0.01585705,0.21424701,0.35128161,0.95716768,1.398881e-13
1.8,4,-0.46015416,-0.40781605,0.029373243,5.0827889,0,0.015450821,-0.19693234,-0.19693234,-0.21357433,0.01659527,0.21421811,0.34337747,0.96354243,1.264544e-13
1.8,5,-0.43554121,-0.40787352,0.0047602982,4.8266503,0,0.0015849396,-0.19693403,-0.19693403,-0.21362531,0.016503946,0.21426188,0.34128017,0.95745695,1.7219559e-13
1.8,6,-0.44866069,-0.40785939,0.017879779,5.6457942,0,0.017869922,-0.19693509,-0.19693509,-0.2136486,0.014706672,0.21415417,0.33035203,0.97155704,9.15934e-14
1.8,7,-0.46488374,-0.40785733,0.034102822,5.0268737,0,0.024007403,-0.19693126,-0.19693126,-0.21366718,0.016591537,0.21431039,0.34443005,0.95941018,1.174616e-13
2,0,-0.44131235,-0.40781187,0.010531438,5.3573152,0,0.010419545,-0.1969378,-0.1969378,-0.21355569,0.014691426,0.21406044,0.32926628,0.97192601,1.6309176e-13
2,1,-0.43705053,-0.40789936,0.0062696215,5.6218269,0,0.0062574599,-0.19693775,-0.19693775,-0.21355749,0.015927734,0.21415064,0.32852091,0.9709734,1.5354384e-13
2,2,-0.41931052,-0.40788709,-0.011470389,13.31562,0,-0.012358866,-0.19693461,-0.19693461,-0.21352877,0.014981608,0.2140537,0.31861406,0.97332087,2.8355096e-13
2,3,-0.43204462,-0.40783102,0.0012637074,4.9026265,0,-0.01302976,-0.19693661,-0.19693661,-0.21361979,0.014626357,0.21411993,0.33511325,0.96450498,1.4765966e-13
2,4,-0.43795764,-0.4078563,0.0071767263,5.2934956,0,0.0023689207,-0.19693375,-0.19693375,-0.21361383,0.014882371,0.21413163,0.32345987,0.97051,1.3167245e-13
2,5,-0.42981713,-0.40795697,-0.0009637849,9.3963936,0,-0.015464471,-0.19693562,-0.19693562,-0.21368366,0.015034006,0.21421188,0.32795353,0.9628049,1.8951507e-13
2,6,-0.43721054,-0.40791585,0.0064296295,5.7925809,0,0.0061170279,-0.1969365,-0.1969365,-0.21362174,0.013284519,0.2140344,0.32467462,0.9767908,9.9031894e-14
